date,ticker,strike_price,balance,stk_qty,opt_qty,opt_sell_price,stk_buy_price,stk_unrealised,opt_unrealised,opt_expiry,lot_size,isNewDay
01-01-2012,AAPL,0,50000.45,0,0,0,0,0,0,3/1/2012,100,TRUE
2025-04-21,AAPL,205.0,136.79,258.0,-200.0,0.58,193.27,-28.38,-6.0,2025-04-25,100.0,False
2025-04-22,AAPL,205.0,136.79,258,-200,0.58,193.27,1669.26,-136.0,2025-04-25,100.0,False
2025-04-23,AAPL,205.0,136.79,258,-200,0.58,193.27,2923.14,-438.0,2025-04-25,100.0,False
2025-04-24,AAPL,205.0,136.79,258,-200,0.58,193.27,3895.8,-744.0,2025-04-25,100.0,False
2025-04-25,AAPL,205.0,53142.79,0,0,0,0,0,0,2025-04-25,100.0,True
2025-04-28,AAPL,222.5,207.67,252.0,-200.0,0.84,210.06,20.16,-6.0,2025-05-02,100.0,False
2025-04-29,AAPL,222.5,207.67,252,-200,0.84,210.06,289.8,-10.0,2025-05-02,100.0,False
2025-04-30,AAPL,222.5,207.67,252,-200,0.84,210.06,614.88,-64.0,2025-05-02,100.0,False
2025-05-01,AAPL,222.5,207.67,252,-200,0.84,210.06,821.52,-82.0,2025-05-02,100.0,False
2025-05-02,AAPL,222.5,375.67,252,0,0,210.06,-1186.92,0,2025-05-02,100.0,True
2025-05-05,AAPL,207.5,375.67,252,-200.0,0.6,210.06,-2814.84,-8.0,2025-05-09,100.0,False
2025-05-06,AAPL,207.5,375.67,252,-200,0.6,210.06,-2910.6,48.0,2025-05-09,100.0,False
2025-05-07,AAPL,207.5,375.67,252,-200,0.6,210.06,-3480.12,92.0,2025-05-09,100.0,False
2025-05-08,AAPL,207.5,375.67,252,-200,0.6,210.06,-3167.64,108.0,2025-05-09,100.0,False
2025-05-09,AAPL,207.5,495.67,252,0,0,210.06,-2905.56,0,2025-05-09,100.0,True
2025-05-12,AAPL,217.5,495.67,252,-200.0,0.57,210.06,183.96,-4.0,2025-05-16,100.0,False
2025-05-13,AAPL,217.5,495.67,252,-200,0.57,210.06,723.24,-42.0,2025-05-16,100.0,False
2025-05-14,AAPL,217.5,495.67,252,-200,0.57,210.06,572.04,18.0,2025-05-16,100.0,False
2025-05-15,AAPL,217.5,495.67,252,-200,0.57,210.06,350.28,92.0,2025-05-16,100.0,False
2025-05-16,AAPL,217.5,609.67,252,0,0,210.06,302.4,0,2025-05-16,100.0,True
2025-05-19,AAPL,215.0,609.67,252,-200.0,0.55,210.06,-322.56,-6.0,2025-05-23,100.0,False
2025-05-20,AAPL,215.0,609.67,252,-200,0.55,210.06,-806.4,68.0,2025-05-23,100.0,False
2025-05-21,AAPL,215.0,609.67,252,-200,0.55,210.06,-2008.44,100.0,2025-05-23,100.0,False
2025-05-22,AAPL,215.0,609.67,252,-200,0.55,210.06,-2192.4,106.0,2025-05-23,100.0,False
2025-05-23,AAPL,215.0,719.67,252,0,0,210.06,-3727.08,0,2025-05-23,100.0,True
2025-05-27,AAPL,207.5,719.67,252,-200.0,0.32,210.06,-2482.2,-2.0,2025-05-30,100.0,False
2025-05-28,AAPL,207.5,719.67,252,-200,0.32,210.06,-2429.28,18.0,2025-05-30,100.0,False
2025-05-29,AAPL,207.5,719.67,252,-200,0.32,210.06,-2547.72,52.0,2025-05-30,100.0,False
2025-05-30,AAPL,207.5,783.67,252,0,0,210.06,-2320.92,0,2025-05-30,100.0,True
2025-06-02,AAPL,210.0,783.67,252,-200.0,0.25,210.06,-2106.72,-2.0,2025-06-06,100.0,False
2025-06-03,AAPL,210.0,783.67,252,-200,0.25,210.06,-1711.08,-2.0,2025-06-06,100.0,False
2025-06-04,AAPL,210.0,783.67,252,-200,0.25,210.06,-1824.48,22.0,2025-06-06,100.0,False
2025-06-05,AAPL,210.0,783.67,252,-200,0.25,210.06,-2376.36,42.0,2025-06-06,100.0,False
2025-06-06,AAPL,210.0,833.67,252,0,0,210.06,-1547.28,0,2025-06-06,100.0,True
2025-06-09,AAPL,210.0,833.67,252,-200.0,0.57,210.06,-2169.72,-4.0,2025-06-13,100.0,False
2025-06-10,AAPL,210.0,833.67,252,-200,0.57,210.06,-1862.28,42.0,2025-06-13,100.0,False
2025-06-11,AAPL,210.0,833.67,252,-200,0.57,210.06,-2842.56,96.0,2025-06-13,100.0,False
2025-06-12,AAPL,210.0,833.67,252,-200,0.57,210.06,-2736.72,106.0,2025-06-13,100.0,False
2025-06-13,AAPL,210.0,947.67,252,0,0,210.06,-3429.72,0,2025-06-13,100.0,True
2025-06-16,AAPL,205.0,947.67,252,-200.0,0.33,210.06,-2933.28,-2.0,2025-06-20,100.0,False
2025-06-17,AAPL,205.0,947.67,252,-200,0.33,210.06,-3633.84,46.0,2025-06-20,100.0,False
2025-06-18,AAPL,205.0,947.67,252,-200,0.33,210.06,-3396.96,58.0,2025-06-20,100.0,False
2025-06-20,AAPL,205.0,1013.67,252,0,0,210.06,-2283.12,0,2025-06-20,100.0,True
2025-06-23,AAPL,207.5,1013.67,252,-200.0,0.27,210.06,-2157.12,-6.0,2025-06-27,100.0,False
2025-06-24,AAPL,207.5,1013.67,252,-200,0.27,210.06,-2459.52,24.0,2025-06-27,100.0,False
2025-06-25,AAPL,207.5,1013.67,252,-200,0.27,210.06,-2142.0,26.0,2025-06-27,100.0,False
2025-06-26,AAPL,207.5,1013.67,252,-200,0.27,210.06,-2283.12,44.0,2025-06-27,100.0,False
2025-06-27,AAPL,207.5,1067.67,252,0,0,210.06,-2262.96,0,2025-06-27,100.0,True
2025-06-30,AAPL,210.0,1067.67,252,-200.0,0.68,210.06,-1232.28,-4.0,2025-07-03,100.0,False
2025-07-01,AAPL,210.0,1067.67,252,-200,0.68,210.06,-564.48,-46.0,2025-07-03,100.0,False
2025-07-02,AAPL,210.0,1067.67,252,-200,0.68,210.06,599.76,-440.0,2025-07-03,100.0,False
2025-07-03,AAPL,210.0,54123.67,0,0,0,0,0,0,2025-07-03,100.0,True
2025-07-07,AAPL,217.5,102.95,254.0,-200.0,0.36,212.68,-693.42,-4.0,2025-07-11,100.0,False
2025-07-08,AAPL,217.5,102.95,254,-200,0.36,212.68,-678.18,34.0,2025-07-11,100.0,False
2025-07-09,AAPL,217.5,102.95,254,-200,0.36,212.68,-391.16,46.0,2025-07-11,100.0,False
2025-07-10,AAPL,217.5,102.95,254,-200,0.36,212.68,-68.58,60.0,2025-07-11,100.0,False
2025-07-11,AAPL,217.5,174.95,254,0,0,212.68,-386.08,0,2025-07-11,100.0,True
2025-07-14,AAPL,215.0,174.95,254,-200.0,0.38,212.68,-1031.24,-2.0,2025-07-18,100.0,False
2025-07-15,AAPL,215.0,174.95,254,-200,0.38,212.68,-906.78,4.0,2025-07-18,100.0,False
2025-07-16,AAPL,215.0,174.95,254,-200,0.38,212.68,-640.08,24.0,2025-07-18,100.0,False
2025-07-17,AAPL,215.0,174.95,254,-200,0.38,212.68,-675.64,58.0,2025-07-18,100.0,False
2025-07-18,AAPL,215.0,250.95,254,0,0,212.68,-381.0,0,2025-07-18,100.0,True
2025-07-21,AAPL,217.5,250.95,254,-200.0,0.61,212.68,-50.8,-2.0,2025-07-25,100.0,False
2025-07-22,AAPL,217.5,250.95,254,-200,0.61,212.68,436.88,-60.0,2025-07-25,100.0,False
2025-07-23,AAPL,217.5,250.95,254,-200,0.61,212.68,373.38,6.0,2025-07-25,100.0,False
2025-07-24,AAPL,217.5,250.95,254,-200,0.61,212.68,274.32,94.0,2025-07-25,100.0,False
2025-07-25,AAPL,217.5,372.95,254,0,0,212.68,304.8,0,2025-07-25,100.0,True
2025-07-28,AAPL,225.0,372.95,254,-200.0,0.75,212.68,347.98,-4.0,2025-08-01,100.0,False
2025-07-29,AAPL,225.0,372.95,254,-200,0.75,212.68,-358.14,24.0,2025-08-01,100.0,False
2025-07-30,AAPL,225.0,372.95,254,-200,0.75,212.68,-922.02,84.0,2025-08-01,100.0,False
2025-07-31,AAPL,225.0,372.95,254,-200,0.75,212.68,-1297.94,72.0,2025-08-01,100.0,False
2025-08-01,AAPL,225.0,522.95,254,0,0,212.68,-2616.2,0,2025-08-01,100.0,True
2025-08-04,AAPL,210.0,522.95,254,-200.0,0.65,212.68,-2369.82,-2.0,2025-08-08,100.0,False
2025-08-05,AAPL,210.0,522.95,254,-200,0.65,212.68,-2479.04,58.0,2025-08-08,100.0,False
2025-08-06,AAPL,210.0,522.95,254,-200,0.65,212.68,144.78,-760.0,2025-08-08,100.0,False
2025-08-07,AAPL,210.0,522.95,254,-200,0.65,212.68,1866.9,-1930.0,2025-08-08,100.0,False
2025-08-08,AAPL,210.0,53992.95,0,0,0,0,0,0,2025-08-08,100.0,True
2025-08-11,AAPL,235.0,203.83,236.0,-200.0,0.6,227.92,-174.64,-6.0,2025-08-15,100.0,False
2025-08-12,AAPL,235.0,203.83,236,-200,0.6,227.92,408.28,-20.0,2025-08-15,100.0,False
2025-08-13,AAPL,235.0,203.83,236,-200,0.6,227.92,1276.76,-174.0,2025-08-15,100.0,False
2025-08-14,AAPL,235.0,203.83,236,-200,0.6,227.92,1146.96,12.0,2025-08-15,100.0,False
2025-08-15,AAPL,235.0,323.83,236,0,0,227.92,866.12,0,2025-08-15,100.0,True
2025-08-18,AAPL,237.5,323.83,236,-200.0,0.61,227.92,700.92,-4.0,2025-08-22,100.0,False
2025-08-19,AAPL,237.5,323.83,236,-200,0.61,227.92,623.04,52.0,2025-08-22,100.0,False
2025-08-20,AAPL,237.5,323.83,236,-200,0.61,227.92,-450.76,102.0,2025-08-22,100.0,False
2025-08-21,AAPL,237.5,323.83,236,-200,0.61,227.92,-712.72,114.0,2025-08-22,100.0,False
2025-08-22,AAPL,237.5,445.83,236,0,0,227.92,-37.76,0,2025-08-22,100.0,True
2025-08-25,AAPL,235.0,445.83,236,-200.0,0.52,227.92,-179.36,-4.0,2025-08-29,100.0,False
2025-08-26,AAPL,235.0,445.83,236,-200,0.52,227.92,328.04,-32.0,2025-08-29,100.0,False
2025-08-27,AAPL,235.0,445.83,236,-200,0.52,227.92,606.52,-20.0,2025-08-29,100.0,False
2025-08-28,AAPL,235.0,445.83,236,-200,0.52,227.92,1095.04,-28.0,2025-08-29,100.0,False
2025-08-29,AAPL,235.0,549.83,236,0,0,227.92,995.92,0,2025-08-29,100.0,True
2025-09-02,AAPL,235.0,549.83,236,-200.0,0.63,227.92,424.8,-4.0,2025-09-05,100.0,False
2025-09-03,AAPL,235.0,549.83,236,-200,0.63,227.92,2489.8,-744.0,2025-09-05,100.0,False
2025-09-04,AAPL,235.0,549.83,236,-200,0.63,227.92,2798.96,-894.0,2025-09-05,100.0,False
2025-09-05,AAPL,235.0,56135.83,0,0,0,0,0,0,2025-09-05,100.0,True
2025-09-08,AAPL,245.0,139.63,234.0,-200.0,0.57,239.3,-332.28,-4.0,2025-09-12,100.0,False
2025-09-09,AAPL,245.0,139.63,234,-200,0.57,239.3,-1158.3,82.0,2025-09-12,100.0,False
